unique_identifier,amount,date
BANKA0001,504230,2026-03-04
BANKA0002,748610,2026-03-13
BANKA0003,727010,2026-03-28
BANKA0004,256390,2026-03-18
BANKA0005,-818990,2026-03-22
BANKA0006,871190,2026-03-24
BANKA0007,620080,2026-03-19
BANKA0008,299200,2026-03-03
BANKA0009,204120,2026-03-27
BANKA0010,493650,2026-03-17
BANKA0011,-162400,2026-03-12
BANKA0012,-104110,2026-03-28
BANKA0013,154530,2026-03-15
BANKA0014,475870,2026-03-04
BANKA0015,-736440,2026-03-25
BANKA0016,-131250,2026-03-01
BANKA0017,839960,2026-03-05
BANKA0018,613510,2026-03-17
BANKA0019,303130,2026-03-16
BANKA0020,626240,2026-03-16
BANKA0021,-409350,2026-03-03
BANKA0022,-866510,2026-03-24
BANKA0023,571870,2026-03-03
BANKA0024,339290,2026-03-04
BANKA0025,-690660,2026-03-29
BANKA0026,907850,2026-03-11
BANKA0027,-12940,2026-03-28
BANKA0028,-56880,2026-03-01
BANKA0029,-253260,2026-03-15
BANKA0030,242790,2026-03-17
BANKA0031,-93080,2026-03-27
BANKA0032,-954390,2026-03-12
BANKA0033,-337140,2026-03-11
BANKA0034,-71820,2026-03-05
BANKA0035,-797350,2026-03-05
BANKA0036,859630,2026-03-04
BANKA0037,-537350,2026-03-17
BANKA0038,-205540,2026-03-29
BANKA0039,423220,2026-03-14
BANKA0040,142320,2026-03-30
BANKA0041,874210,2026-03-15
BANKA0042,425670,2026-03-31
BANKA0043,572960,2026-03-07
BANKA0044,-683600,2026-03-07
BANKA0045,-233670,2026-03-08
BANKA0046,577180,2026-03-08
BANKA0047,-554070,2026-03-31
BANKA0048,864880,2026-03-18
BANKA0049,274410,2026-03-28
BANKA0050,-69010,2026-03-13
BANKA0051,-515190,2026-03-17
BANKA0052,952210,2026-03-02
BANKA0053,94380,2026-03-31
BANKA0054,322300,2026-03-09
BANKA0055,-645710,2026-03-06
BANKA0056,-874760,2026-03-01
BANKA0057,861710,2026-03-18
BANKA0058,-783590,2026-03-29
BANKA0059,-428070,2026-03-30
BANKA0060,-555150,2026-03-04
BANKA0061,542080,2026-03-09
BANKA0062,-931320,2026-03-08
BANKA0063,350840,2026-03-09
BANKA0064,-918130,2026-03-30
BANKA0065,625650,2026-03-03
BANKA0066,-958490,2026-03-18
BANKA0067,-766310,2026-03-29
BANKA0068,-366770,2026-03-18
BANKA0069,793570,2026-03-24
