unique_identifier,amount,date
BANKB0001,-646290,2026-03-09
BANKB0002,491900,2026-03-12
BANKB0003,545660,2026-03-26
BANKB0004,-406830,2026-03-17
BANKB0005,-32229,2026-03-14
BANKB0006,-640310,2026-03-31
BANKB0007,669160,2026-03-26
BANKB0008,-644150,2026-03-11
BANKB0009,-236060,2026-03-26
BANKB0010,-785450,2026-03-28
BANKB0011,865520,2026-03-30
BANKB0012,-87770,2026-03-03
BANKB0013,-607940,2026-03-05
BANKB0014,-34110,2026-03-24
BANKB0015,765670,2026-03-29
BANKB0016,962400,2026-03-24
BANKB0017,-396580,2026-03-20
BANKB0018,892450,2026-03-02
BANKB0019,832540,2026-03-14
BANKB0020,-792550,2026-03-22
BANKB0021,991060,2026-03-20
BANKB0022,619440,2026-03-12
BANKB0023,885600,2026-03-22
BANKB0024,-562520,2026-03-27
BANKB0025,555220,2026-03-26
BANKB0026,-915750,2026-03-17
BANKB0027,-401580,2026-03-01
BANKB0028,445830,2026-03-18
BANKB0029,88560,2026-03-04
BANKB0030,871470,2026-03-01
BANKB0031,-465280,2026-03-09
BANKB0032,146670,2026-03-31
BANKB0033,274700,2026-03-20
BANKB0034,-967640,2026-03-14
BANKB0035,-369810,2026-03-11
BANKB0036,934900,2026-03-07
BANKB0037,-574540,2026-03-09
BANKB0038,-794630,2026-03-14
BANKB0039,-75390,2026-03-09
BANKB0040,-538660,2026-03-19
BANKB0041,-718880,2026-03-19
BANKB0042,-27890,2026-03-19
BANKB0043,61810,2026-03-11
BANKB0044,-549040,2026-03-19
BANKB0045,546860,2026-03-09
BANKB0046,-477620,2026-03-01
BANKB0047,-311790,2026-03-01
BANKB0048,-119080,2026-03-02
BANKB0049,-531520,2026-03-17
BANKB0050,-312310,2026-03-28
BANKB0051,-923870,2026-03-17
BANKB0052,-340000,2026-03-01
BANKB0053,126460,2026-03-22
BANKB0054,914710,2026-03-08
BANKB0055,276280,2026-03-14
BANKB0056,-466220,2026-03-20
BANKB0057,-393460,2026-03-14
BANKB0058,-271000,2026-03-28
