unique_identifier,amount,date
BNI0001,-224370,2026-03-30
BNI0002,-23090,2026-03-05
BNI0003,-447470,2026-03-01
BNI0004,-466190,2026-03-25
BNI0005,711010,2026-03-10
BNI0006,-764830,2026-03-21
BNI0007,-543990,2026-03-30
BNI0008,381000,2026-03-13
BNI0009,636060,2026-03-22
BNI0010,-670380,2026-03-20
BNI0011,-970700,2026-03-10
BNI0012,52290,2026-03-13
BNI0013,-995340,2026-03-28
BNI0014,707220,2026-03-30
BNI0015,180670,2026-03-10
BNI0016,728390,2026-03-27
BNI0017,911520,2026-03-24
BNI0018,294980,2026-03-06
BNI0019,-696970,2026-03-22
BNI0020,-183720,2026-03-04
BNI0021,-86860,2026-03-15
BNI0022,606120,2026-03-03
