unique_identifier,amount,date
BANKC0001,99290,2026-03-09
BANKC0002,470520,2026-03-26
BANKC0003,502350,2026-03-17
BANKC0004,-171940,2026-03-25
BANKC0005,287860,2026-03-22
BANKC0006,578620,2026-03-23
BANKC0007,-483610,2026-03-29
BANKC0008,842580,2026-03-27
BANKC0009,977620,2026-03-23
BANKC0010,-233020,2026-03-02
BANKC0011,835890,2026-03-24
BANKC0012,-808460,2026-03-30
BANKC0013,83400,2026-03-15
BANKC0014,82620,2026-03-02
BANKC0015,709450,2026-03-02
BANKC0016,-954350,2026-03-30
BANKC0017,234200,2026-03-18
BANKC0018,587390,2026-03-26
BANKC0019,-489660,2026-03-23
BANKC0020,-918700,2026-03-05
BANKC0021,570930,2026-03-09
BANKC0022,-655760,2026-03-27
BANKC0023,-739290,2026-03-11
BANKC0024,548290,2026-03-01
BANKC0025,993170,2026-03-21
BANKC0026,458820,2026-03-17
BANKC0027,-231660,2026-03-04
BANKC0028,-424000,2026-03-01
BANKC0029,-241860,2026-03-18
BANKC0030,-856780,2026-03-28
BANKC0031,-325220,2026-03-16
BANKC0032,994880,2026-03-08
BANKC0033,797360,2026-03-28
BANKC0034,-87070,2026-03-15
BANKC0035,-955610,2026-03-29
BANKC0036,-653160,2026-03-13
BANKC0037,-290180,2026-03-14
BANKC0038,-359280,2026-03-16
BANKC0039,476900,2026-03-10
BANKC0040,313580,2026-03-31
BANKC0041,940990,2026-03-25
BANKC0042,-364660,2026-03-29
BANKC0043,-935100,2026-03-06
BANKC0044,434400,2026-03-03
BANKC0045,-161520,2026-03-09
BANKC0046,-704980,2026-03-22
BANKC0047,-557150,2026-03-31
BANKC0048,-544660,2026-03-07
BANKC0049,-72710,2026-03-27
BANKC0050,563030,2026-03-14
BANKC0051,-50180,2026-03-04
BANKC0052,276990,2026-03-07
BANKC0053,710430,2026-03-24
