trxID,amount,type,transactionTime
TRX001,504230,CREDIT,2026-03-04T11:08:30
TRX002,99290,CREDIT,2026-03-09T08:08:43
TRX003,470520,CREDIT,2026-03-26T04:32:33
TRX004,624440,CREDIT,2026-03-09T08:22:54
TRX005,745070,CREDIT,2026-03-13T05:02:19
TRX006,646290,DEBIT,2026-03-09T14:55:30
TRX007,502350,CREDIT,2026-03-17T07:12:47
TRX008,171940,DEBIT,2026-03-25T08:56:52
TRX009,621090,CREDIT,2026-03-16T15:58:52
TRX010,287860,CREDIT,2026-03-22T12:18:21
TRX011,490150,CREDIT,2026-03-12T18:51:56
TRX012,545660,CREDIT,2026-03-26T08:16:55
TRX013,11010,DEBIT,2026-03-07T15:40:04
TRX014,40130,CREDIT,2026-03-29T14:39:23
TRX015,406830,DEBIT,2026-03-17T22:35:26
TRX016,724630,CREDIT,2026-03-28T14:31:27
TRX017,27580,DEBIT,2026-03-14T07:56:42
TRX018,578620,CREDIT,2026-03-23T23:38:38
TRX019,256390,CREDIT,2026-03-18T07:08:31
TRX020,483610,DEBIT,2026-03-29T22:57:43
TRX021,27830,CREDIT,2026-03-05T02:30:48
TRX022,842580,CREDIT,2026-03-27T02:03:34
TRX023,818990,DEBIT,2026-03-22T05:34:47
TRX024,871190,CREDIT,2026-03-24T23:25:55
TRX025,977620,CREDIT,2026-03-23T06:54:13
TRX026,640310,DEBIT,2026-03-31T16:03:07
TRX027,620080,CREDIT,2026-03-19T21:23:53
TRX028,295930,CREDIT,2026-03-03T20:21:36
TRX029,194130,CREDIT,2026-03-27T21:38:33
TRX030,669160,CREDIT,2026-03-26T10:39:28
TRX031,648180,DEBIT,2026-03-11T21:06:20
TRX032,224370,DEBIT,2026-03-30T09:26:20
TRX033,265750,CREDIT,2026-03-25T20:37:07
TRX034,236060,DEBIT,2026-03-26T21:23:50
TRX035,23090,DEBIT,2026-03-05T15:21:40
TRX036,716010,CREDIT,2026-03-22T15:17:21
TRX037,26870,DEBIT,2026-03-07T23:00:54
TRX038,507980,CREDIT,2026-03-17T22:05:35
TRX039,233020,DEBIT,2026-03-02T10:13:00
TRX040,162400,DEBIT,2026-03-12T08:27:03
TRX041,835890,CREDIT,2026-03-24T19:14:37
TRX042,104110,DEBIT,2026-03-28T21:39:28
TRX043,154530,CREDIT,2026-03-15T14:28:29
TRX044,785450,DEBIT,2026-03-28T15:28:12
TRX045,808460,DEBIT,2026-03-30T08:12:57
TRX046,83400,CREDIT,2026-03-15T03:48:40
TRX047,475870,CREDIT,2026-03-04T00:23:11
TRX048,82620,CREDIT,2026-03-02T06:26:31
TRX049,416600,DEBIT,2026-03-06T04:51:59
TRX050,736440,DEBIT,2026-03-25T14:31:22
TRX051,351100,DEBIT,2026-03-26T13:34:27
TRX052,709450,CREDIT,2026-03-02T00:09:49
TRX053,126530,DEBIT,2026-03-01T05:19:44
TRX054,954350,DEBIT,2026-03-30T04:35:15
